"Agency","Component","Fiscal Year","Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
"U.S. Interagency Council on Homelessness","Agency Overall","2021","0","0.05","0.05"
"United States International Boundary and Water Commission","Agency Overall","2021","0","0.25","0.25"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2021","2","0.00","2.00"
"U.S. Commission on Civil Rights","Agency Overall","2021","0","5.00","5.00"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2021","0","0.25","0.25"
"Institute of Museum and Library Services","Agency Overall","2021","0","1.00","1.00"
"Federal Retirement Thrift Investment Board","Agency Overall","2021","1","0.00","1.00"
"Equal Employment Opportunity Commission","Agency Overall","2021","32","16.63","48.63"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2021","1","0.00","1.00"
"Millennium Challenge Corporation","Agency Overall","2021","3","4.00","7.00"
"James Madison Memorial Fellowship Foundation","Agency Overall","2021","0","0.10","0.10"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2021","0","1.00","1.00"
"Department of Justice","Agency Overall","2021","455","84.44","539.44"
"Office of the Director of National Intelligence","Agency Overall","2021","10","1.00","11.00"
"Selective Service System","Agency Overall","2021","0","0.15","0.15"
"Federal Open Market Committee","Agency Overall","2021","0","1.00","1.00"
"General Services Administration","Agency Overall","2021","27","0.50","27.50"
"National Endowment for the Arts","Agency Overall","2021","0","1.50","1.50"
"Federal Labor Relations Authority","Agency Overall","2021","0","0.32","0.32"
"U.S. Department of State","Agency Overall","2021","112","71.20","183.20"
"National Aeronautics and Space Administration","Agency Overall","2021","6","4.70","10.70"
"Denali Commission","Agency Overall","2021","1","0.00","1.00"
"U.S. Election Assistance Commission","Agency Overall","2021","0","1.48","1.48"
"U.S. Railroad Retirement Board","Agency Overall","2021","0","3.00","3.00"
"Social Security Administration","Agency Overall","2021","9","35.00","44.00"
"Central Intelligence Agency","Agency Overall","2021","27","22.00","49.00"
"United States Postal Service","Agency Overall","2021","18","29.00","47.00"
"National Labor Relations Board","Agency Overall","2021","16","2.00","18.00"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2021","0","0.50","0.50"
"U.S. International Development Finance Corporation","Agency Overall","2021","1","0.75","1.75"
"Farm Credit Administration","Agency Overall","2021","0","1.00","1.00"
"Department of Veterans Affairs","Agency Overall","2021","382","352.75","734.75"
"Farm Credit System Insurance Corporation","Agency Overall","2021","0","0.10","0.10"
"United States International Trade Commission","Agency Overall","2021","3","2.00","5.00"
"National Capital Planning Commission","Agency Overall","2021","0","0.05","0.05"
"Office of Government Ethics","Agency Overall","2021","0","2.40","2.40"
"National Railroad Passenger Corporation","Agency Overall","2021","3","0.00","3.00"
"Appraisal Subcommittee","Agency Overall","2021","0","0.05","0.05"
"Department of Energy","Agency Overall","2021","43","23.73","66.73"
"Occupational Safety and Health Review Commission","Agency Overall","2021","0","1.64","1.64"
"Inter-American Foundation","Agency Overall","2021","0","0.20","0.20"
"Court Services and Offender Supervision Agency","Agency Overall","2021","2","0.00","2.00"
"Federal Housing Finance Agency","Agency Overall","2021","1","1.20","2.20"
"Office of Personnel Management","Agency Overall","2021","5","5.80","10.80"
"Postal Regulatory Commission","Agency Overall","2021","0","1.00","1.00"
"Department of Transportation","Agency Overall","2021","58","47.81","105.81"
"Presidio Trust","Agency Overall","2021","0","0.10","0.10"
"Environmental Protection Agency","Agency Overall","2021","106","104.31","210.31"
"National Mediation Board","Agency Overall","2021","0","1.00","1.00"
"American Battle Monuments Commission","Agency Overall","2021","0","0.01","0.01"
"National Transportation Safety Board","Agency Overall","2021","4","4.50","8.50"
"Federal Deposit Insurance Corporation","Agency Overall","2021","6","2.00","8.00"
"Federal Communications Commission","Agency Overall","2021","6","7.96","13.96"
"Small Business Administration","Agency Overall","2021","29","0.00","29.00"
"Department of Commerce","Agency Overall","2021","74","12.84","86.84"
"Office of National Drug Control Policy","Agency Overall","2021","0","0.70","0.70"
"Consumer Financial Protection Bureau","Agency Overall","2021","15","18.08","33.08"
"Peace Corps","Agency Overall","2021","2","2.45","4.45"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2021","0","0.10","0.10"
"National Science Foundation","Agency Overall","2021","1","1.95","2.95"
"Department of Agriculture","Agency Overall","2021","102","131.85","233.85"
"Department of Labor","Agency Overall","2021","59","106.49","165.49"
"Commodity Futures Trading Commission","Agency Overall","2021","2","0.00","2.00"
"United States Institute of Peace","Agency Overall","2021","0","0.50","0.50"
"Department of the Treasury","Agency Overall","2021","55","96.41","151.41"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2021","0","0.45","0.45"
"Nuclear Regulatory Commission","Agency Overall","2021","4","7.09","11.09"
"Federal Maritime Commission","Agency Overall","2021","1","0.17","1.17"
"Neighborhood Reinvestment Corporation","Agency Overall","2021","0","0.25","0.25"
"Merit Systems Protection Board","Agency Overall","2021","1","0.78","1.78"
"National Archives and Records Administration","Agency Overall","2021","21","21.45","42.45"
"Securities and Exchange Commission","Agency Overall","2021","26","7.30","33.30"
"Federal Reserve System","Agency Overall","2021","4","9.00","13.00"
"Federal Election Commission","Agency Overall","2021","1","1.65","2.65"
"Office of Management and Budget","Agency Overall","2021","4","3.00","7.00"
"United States Trade and Development Agency","Agency Overall","2021","0","0.60","0.60"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2021","1","0.00","1.00"
"United States Access Board","Agency Overall","2021","0","0.50","0.50"
"Federal Trade Commission","Agency Overall","2021","11","4.00","15.00"
"National Indian Gaming Commission","Agency Overall","2021","1","0.00","1.00"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2021","0","0.02","0.02"
"Department of Defense","Agency Overall","2021","527","437.46","964.46"
"Tennessee Valley Authority","Agency Overall","2021","1","0.25","1.25"
"Export-Import Bank of the U.S.","Agency Overall","2021","4","1.25","5.25"
"Department of Homeland Security","Agency Overall","2021","462","161.23","623.23"
"Defense Nuclear Facilities Safety Board","Agency Overall","2021","0","0.50","0.50"
"All agencies","Agency Overall","2021","3218","2144.55","5362.55"
