year,agency,litigation_cost,processing_cost,total_cost,total_staff,pending_end_year,pending_start_year,processed_year,received_year,duplicate_request,fee_related,full_denial,full_grants,improper_request_other_reason,not_agency_record,no_records,other,partially_granted,records_not_described,referred_to_other_agency,withdrawn,exemption_1,exemption_2,exemption_3,exemption_4,exemption_5,exemption_6,exemption_7a,exemption_7b,exemption_7c,exemption_7d,exemption_7e,exemption_7f,exemption_8,exemption_9,general_complex_average,general_complex_high,general_complex_low,general_complex_median,general_expedited_average,general_expedited_high,general_expedited_low,general_expedited_median,general_simple_average,general_simple_high,general_simple_low,general_simple_median,granted_complex_average,granted_complex_high,granted_complex_low,granted_complex_median,granted_expedited_average,granted_expedited_high,granted_expedited_low,granted_expedited_median,granted_simple_average,granted_simple_high,granted_simple_low,granted_simple_median
2019,MKUF,0.00,1.00,1.00,1.00,N/A,N/A,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,10,5,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,10,5,7
2020,MKUF,0.00,100.00,100.00,0.10,N/A,N/A,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,9,3,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021,MKUF,100.00,0.00,100.00,0.02,N/A,N/A,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022,MKUF,0.00,2820.00,2820.00,0.02,N/A,N/A,3,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,7,2,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,6,6,6
2023,MKUF,0.00,4675.11,4675.11,0.03,1,N/A,19,20,0,0,0,3,0,0,6,0,2,2,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.7,10,1,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,10,2,8
2024,MKUF,0.00,3973.00,3973.00,0.24,18,1,56,73,0,0,1,8,0,0,36,0,7,4,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,N/A,N/A,0,0,N/A,N/A,0,9,122,<1,6,0,N/A,N/A,0,0,N/A,N/A,0,15,122,<1,8
2016,MMC,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,MMC,0.00,1000.00,1000.00,0.10,2,N/A,8,10,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.75,15,4,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.75,15,4,14
2018,MMC,0.00,1000.00,1000.00,0.10,1,2,8,7,0,0,0,3,0,0,1,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,56,56,56,56,6.33,10,1,8,59,69,48,58.5,56,56,56,56,6.3,10,1,8,59,69,48,58
2019,MMC,0.00,1000.00,1000.00,0.10,2,1,7,8,0,0,0,2,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.67,15,10,12.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.5,15,10,12.5
2020,MMC,0.00,3600.00,3600.00,0.03,3,2,4,5,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,135,40,87,N/A,N/A,N/A,N/A,8.5,10,7,8.5,87,135,40,87,N/A,N/A,N/A,N/A,7,7,7,7
2021,MMC,0.00,760.00,760.00,0.03,6,3,8,11,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,81,135,27,81,N/A,N/A,N/A,N/A,13,40,1,10,81,135,27,81,N/A,N/A,N/A,N/A,13,40,1,10
2022,MMC,0.00,3500.00,3500.00,0.02,5,6,10,9,0,0,0,3,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,21,5,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.5,10,7,10
2023,MMC,0.00,5000.00,5000.00,0.02,27,5,34,56,0,0,0,31,0,0,0,0,3,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,301,1,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.5,301,1,10
2024,MMC,0.00,10000.00,10000.00,0.05,14,27,70,57,0,0,0,13,0,0,52,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28,245,5,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34,245,7,16
2008,MSPB,0.00,180000.00,180000.00,2.50,6,15,367,358,4,0,0,315,0,0,28,0,15,1,1,3,0,0,0,0,3,12,0,0,0,0,0,0,0,0,47.5,180,30,40,N/A,N/A,N/A,N/A,9.2,25,<1,11,47.5,180,30,40,N/A,N/A,N/A,N/A,9.2,25,<1,9
2009,MSPB,0.00,273000.00,273000.00,2.50,5,6,335,334,0,0,8,309,0,0,3,0,10,1,4,0,0,0,0,0,4,11,0,1,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,93,<1,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,49,<1,5
2010,MSPB,0.00,201162.00,201162.00,1.50,4,5,401,400,0,0,22,348,0,0,0,0,27,0,4,0,0,0,0,0,1,24,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17,85,<1,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,50,<1,6
2011,MSPB,0.00,316210.00,316210.00,9.00,12,4,113,121,0,0,1,103,0,0,0,0,9,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,42,81,4,42,N/A,N/A,N/A,N/A,9,35,N/A,17,37,81,11,37,N/A,N/A,N/A,N/A,9,35,N/A,17
2012,MSPB,0.00,443110.00,443110.00,4.50,N/A,12,237,225,0,0,10,107,0,0,66,0,54,0,0,0,0,0,0,0,10,36,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,8,8,8,8,10,38,N/A,18,N/A,N/A,N/A,N/A,8,8,8,8,10,38,N/A,18
2013,MSPB,0.00,238958.00,238958.00,2.00,5,N/A,202,207,4,1,3,88,3,1,41,0,51,1,3,6,0,0,0,5,3,40,0,0,0,0,0,0,0,0,67.92,150,31,55,N/A,N/A,N/A,N/A,22.3,440,<1,13,76.9,150,32,64.5,N/A,N/A,N/A,N/A,19.12,105,<1,13
2014,MSPB,0.00,238958.00,238958.00,2.00,21,12,212,221,0,0,4,103,3,0,43,0,40,2,8,9,0,0,1,0,6,30,0,1,1,0,0,0,0,0,40.63,94,17,39,14,14,14,14,10.6,51,<1,8,41.32,94,17,40.5,N/A,N/A,N/A,N/A,11.4,37,<1,9
2015,MSPB,0.00,238958.00,238958.00,2.00,50,21,136,165,1,0,3,63,5,2,27,0,29,1,0,5,0,0,0,0,3,29,0,0,0,0,0,0,0,0,191.17,239,68,215,15.67,35,<1,14.5,27.05,145,<1,18,217,239,190,219.5,15.67,35,<1,14.5,26.64,84,<1,22
2016,MSPB,0.00,238958.00,238958.00,2.00,93,55,168,206,7,0,3,49,2,1,37,2,53,5,0,9,0,1,0,0,3,54,0,0,2,0,1,0,0,0,132,386,3,17,19,101,<1,6,53.7,460,<1,14,136.33,386,6,17,36.33,101,2,6,58.94,460,<1,18
2017,MSPB,0.00,254266.00,254266.00,2.12,78,92,190,176,6,0,2,53,8,1,32,1,69,10,1,7,0,3,8,0,16,66,1,0,5,0,16,0,0,0,231.7,705,9,98,4,4,4,4,79.3,619,<1,13,259.16,705,9,146,N/A,N/A,N/A,N/A,74.85,619,<1,14
2018,MSPB,0.00,250081.77,250081.77,2.01,51,78,200,173,2,0,8,59,18,0,41,3,58,7,2,2,0,1,5,0,8,59,4,0,5,0,6,0,0,0,298.3,868,2,272,192.67,577,<1,1,15.63,348,<1,3,345.26,868,16,317,577,577,577,577,21.75,348,<1,6
2019,MSPB,0.00,241329.00,241329.00,1.85,52,50,115,117,2,0,2,33,3,0,26,1,40,5,0,3,0,1,0,0,1,41,3,0,5,0,6,1,0,0,318.23,805,1,169.5,N/A,N/A,N/A,N/A,8.49,138,<1,3,352.59,805,9,187,N/A,N/A,N/A,N/A,7.87,23,<1,4.5
2020,MSPB,0.00,236379.69,236379.69,1.93,55,52,124,127,3,0,4,25,15,0,25,0,42,3,3,4,0,1,2,0,7,41,1,0,4,0,3,0,0,0,348.76,1174,3,86,1419,1419,1419,1419,5.65,53,<1,2,294.94,1174,3,84,1419,1419,1419,1419,5.88,53,<1,2
2021,MSPB,0.00,231392.35,231392.35,1.78,56,55,171,172,0,0,3,44,11,0,46,2,50,6,3,6,0,1,2,0,5,46,1,0,4,0,4,0,0,0,482.76,1432,4,115,N/A,N/A,N/A,N/A,4.49,34,<1,2,506.66,1432,12,183,N/A,N/A,N/A,N/A,4.93,21,<1,3
2022,MSPB,0.00,227706.00,227706.00,1.66,64,56,130,138,2,0,7,29,6,2,34,0,40,7,0,3,0,0,0,0,12,35,1,0,5,1,0,0,0,0,249.38,1052,1,35,N/A,N/A,N/A,N/A,5.24,31,<1,3,354.14,1052,2,190,N/A,N/A,N/A,N/A,7.13,31,<1,4
2023,MSPB,0.00,219132.00,219132.00,1.58,118,64,167,221,2,0,4,44,2,0,46,0,35,26,0,8,0,0,2,0,2,35,2,0,2,0,1,0,0,0,154.07,1492,8,70,N/A,N/A,N/A,N/A,5.91,126,<1,2,184.39,1492,8,50,N/A,N/A,N/A,N/A,6.03,55,<1,2.5
2024,MSPB,0.00,305986.40,305986.40,2.21,148,113,184,219,13,0,3,47,2,0,33,0,44,38,0,4,0,0,1,0,5,43,0,0,0,0,1,0,0,0,284.56,1900,<1,128.00,N/A,N/A,N/A,N/A,13.01,170,<1,3.00,319.52,1900,6,144.50,N/A,N/A,N/A,N/A,11.10,155,<1,3.00
2008,NARA,0.00,2336157.00,2336157.00,24.00,5780,5177,13472,14075,23,10,25,506,21,8,12232,145,190,177,108,27,101,13,61,13,18,87,22,0,27,11,8,0,1,0,480.45,2843,N/A,157,N/A,N/A,N/A,N/A,10.28,1411,N/A,5,585.34,2843,N/A,313,N/A,N/A,N/A,N/A,78.37,1411,N/A,12
2009,NARA,0.00,2758186.00,2758186.00,25.00,6854,5781,17508,18581,27,6,7,430,39,6,16596,102,135,97,44,19,81,17,55,9,19,107,1,0,34,19,5,1,0,0,264.16,2978,2,41,N/A,N/A,N/A,N/A,10.91,1409,1,5,353.07,2978,1,75,N/A,N/A,N/A,N/A,72.23,1182,1,15
2010,NARA,0.00,2973280.00,2973280.00,25.00,7064,6856,15573,15781,26,7,4,456,41,13,14420,215,143,100,88,60,113,32,80,14,43,158,2,0,49,42,13,2,0,1,471,3937,N/A,160,N/A,N/A,N/A,N/A,17.1,3268,N/A,5,524,3937,N/A,137,N/A,N/A,N/A,N/A,206.5,3268,N/A,19
2011,NARA,0.00,3162915.00,3162915.00,36.00,8011,7064,17182,18129,20,5,6,395,47,9,16201,181,175,54,61,28,86,24,73,16,47,103,9,0,23,5,26,0,0,0,382,4327,N/A,20,N/A,N/A,N/A,N/A,10.5,1753,N/A,4,475,4327,N/A,23.5,N/A,N/A,N/A,N/A,120.8,1494,N/A,12
2012,NARA,0.00,3078553.00,3078553.00,36.00,7610,8011,13746,13345,61,3,29,1173,50,38,11314,577,348,43,64,46,178,64,155,22,45,180,4,0,83,52,70,5,0,0,917,4932,N/A,357,10,22,1,8,57.5,3509,N/A,6,1110,4932,N/A,609,12.5,22,1,16,922.6,3509,N/A,474
2013,NARA,0.00,3229555.00,3229555.00,35.00,6600,7610,13253,12243,96,3,43,835,94,47,10338,897,598,37,210,55,281,32,237,19,30,265,4,0,118,129,29,2,1,1,718,6136,<1,290,7.5,22,1,6,42.2,3994,<1,6,686,5210,<1,297,10.67,22,5,5,334.7,2696,<1,16
2014,NARA,0.00,6229429.00,6229429.00,35.00,9361,6600,19476,22237,48,4,33,821,358,84,16988,56,692,75,87,230,360,19,254,8,24,254,5,0,111,182,0,1,1,0,965,5223,<1,603,4,29,<1,<1,13.6,3894,<1,6,971,5223,<1,637.5,17.75,29,6,6,73.7,3894,<1,14
2015,NARA,0.00,6718874.00,6718874.00,52.00,8325,9361,23591,22555,97,10,34,453,76,21,20758,451,1255,63,23,350,368,15,240,5,36,248,4,0,120,207,44,12,1,0,1126,5486,<1,452,32.64,181,5,18,26,4387,<1,8,897,5486,<1,393,44.86,131,16,37,73.6,2242,<1,16
2016,NARA,12282.00,7342891.00,7355173.00,53.00,4157,4396,50205,49966,116,6,22,1013,79,16,46633,292,1810,38,27,153,507,18,443,8,27,328,0,0,151,283,53,10,0,4,1098.7,5707,<1,612,45.13,171,<1,10,11.5,2578,<1,14,1250.22,5707,1,658,31,31,31,31,214.37,1621,<1,138
2017,NARA,19500.00,5379158.00,5398658.00,65.00,3286,4157,61208,60337,72,9,17,1164,117,20,57585,362,1648,38,13,163,332,10,310,8,41,377,1,1,184,346,54,1,2,0,882.9,5820,<1,563.5,9.8,44,<1,1,8.65,2917,<1,<1,1086.65,5820,<1,789,22.5,44,<1,22.5,233.62,1215,<1,21
2018,NARA,58631.00,5005879.00,5064510.00,59.51,3035,3286,53101,52850,71,5,2435,36163,38,35,2443,487,4038,88,7174,124,417,17,381,29,35,603,3,1,319,543,107,16,0,2,739.41,4972,<1,372.5,25,61,<1,5,11.47,1957,<1,5,1043.1,4972,<1,576,58.5,61,56,58.5,311.52,1957,<1,474
2019,NARA,53857.00,4704677.00,4758534.00,55.90,3494,4090,68062,67466,1459,16,782,48743,801,42,3316,1738,3115,178,7731,141,318,25,326,24,24,498,5,0,233,431,104,20,2,0,1332.70,6474,1,795,N/A,N/A,N/A,N/A,574.03,1608,1,398,1496.25,6474,1,1402.5,N/A,N/A,N/A,N/A,351.92,1511,1,426.5
2020,NARA,27501.00,4699368.00,4726869.00,42.45,3511,3494,25721,25738,36,9,15,719,81,5,1977,192,22404,134,116,33,175,16,171,11,24,229,2,0,79,154,54,16,0,0,815,4987,1,426,N/A,N/A,N/A,N/A,11,2266,1,6,809,4987,1,525,N/A,N/A,N/A,N/A,126,2266,1,7
2021,NARA,0.00,1202320.00,1202320.00,42.45,4369,3511,6867,7725,22,24,7,5276,102,14,931,92,61,191,113,34,37,7,38,7,47,92,0,0,7,1,5,3,0,0,414,3442,1,107,N/A,N/A,N/A,N/A,136,891,1,179,477,3442,1,232,N/A,N/A,N/A,N/A,17,255,1,6
2022,NARA,0.00,1540000.00,1540000.00,42.45,9969,9971,14977,14975,67,54,31,823,280,39,2513,245,10457,142,82,244,139,4,155,5,12,10291,0,0,107,169,15,4,0,0,1048,7094,1,547,N/A,N/A,N/A,N/A,141,4523,1,56,681,4207,1,514,N/A,N/A,N/A,N/A,224,2516,1,10
2023,NARA,56000.00,1632400.00,1688400.00,42.45,6410,9969,66064,62505,78,23,26,899,147,77,6806,204,54428,246,124,3006,136,7,201,11,66,429,1,0,154,278,96,17,1,0,1330,5947,1,897,317,318,317,318,17,2074,1,4,624,4826,1,162,318,318,317,317,17,2074,1,4
2024,NARA,26000.00,1632400.00,1658400.00,43.45,5107,6410,23893,22590,434,30,42,1082,552,30,1767,4459,14401,313,569,214,178,10,285,12,531,525,3,0,215,310,88,28,2,1,2183,6645,1,2444,355,588,1,1,29,3004,1,3,893,4903,1,421,357,564,182,1,285,3004,1,15
2008,NASA,15499.00,1782835.00,1798334.00,20.05,389,331,1258,1316,9,25,59,397,14,2,126,27,353,32,150,64,0,38,50,268,86,104,3,0,37,3,1,0,0,0,83,1208,1,35,36,110,4,36,34,415,1,11,97,871,1,11,41,49,33,41,176,415,1,29
2009,NASA,20892.00,1967366.00,1988258.00,25.20,431,378,1173,1226,17,27,66,358,12,3,133,17,339,24,122,55,0,41,34,248,74,86,10,0,39,8,2,0,0,0,151,1142,1,45,23,40,6,6,29,243,1,24,202,1015,1,36,N/A,N/A,N/A,N/A,28,243,1,18
2010,NASA,0.00,2224997.90,2224997.90,22.47,182,430,1306,1058,22,31,32,413,0,0,150,130,320,10,0,198,0,23,22,245,36,77,3,0,22,2,1,0,0,0,181.68,1329,<1,71.00,22.57,172,<1,12.00,54.25,1097,<1,13.00,128.45,1064,<1,50.00,20.08,57,8,16.00,34.62,804,<1,15.00
2011,NASA,0.00,2287002.88,2287002.88,27.00,73,178,1131,1026,47,31,46,329,62,23,120,,320,37,34,82,,14,33,221,46,86,1,,26,1,9,5,,,57.97,846,<1,18,227,227,227,227,23.9,842,<1,11,61.11,846,<1,24,N/A,N/A,N/A,N/A,23.9,328,<1,14
2012,NASA,0.00,1788743.23,1788743.23,19.09,64,73,895,886,64,51,48,231,62,34,84,,212,37,15,57,1,3,33,115,53,95,8,,24,2,7,8,,,33.99,896,<1,13,N/A,N/A,N/A,N/A,9.92,145,<1,4,49.88,896,<1,24,N/A,N/A,N/A,N/A,13.94,145,<1,9
2013,NASA,0.00,1476320.35,1476320.35,15.14,54,64,883,873,60,68,30,209,66,35,99,0,191,55,24,46,0,5,26,120,24,67,12,0,21,4,7,5,0,0,22.34,252,<1,14,N/A,N/A,N/A,N/A,5.65,35,<1,4,33.44,252,<1,24,N/A,N/A,N/A,N/A,8.04,35,<1,5
2014,NASA,0.00,1232941.71,1232941.71,13.46,56,54,790,792,61,38,36,166,71,38,69,1,196,63,8,43,2,3,26,133,28,85,10,0,22,6,7,5,0,0,21.9,350,<1,13,N/A,N/A,N/A,N/A,5.78,48,<1,3,33.24,350,<1,25,N/A,N/A,N/A,N/A,7.94,48,<1,4
2015,NASA,0.00,1284127.38,1284127.38,12.70,57,57,923,923,183,62,45,151,70,17,68,26,147,109,17,28,0,4,33,72,35,76,4,0,45,35,9,6,0,0,33.14,418,<1,23,N/A,N/A,N/A,N/A,7.44,30,<1,5.5,38.57,418,<1,26,N/A,N/A,N/A,N/A,7.91,30,<1,6
2016,NASA,0.00,1961462.32,1961462.32,10.72,43,56,847,834,58,42,35,119,92,36,55,45,176,130,27,32,0,3,38,95,38,73,11,0,35,9,29,14,0,0,33.37,198,<1,25.5,7,7,7,7,10.34,120,<1,8,39.38,198,2,29,7,7,7,7,11.72,120,<1,10
2017,NASA,0.00,1396777.31,1396777.31,10.35,91,45,1016,1062,55,51,38,138,111,58,73,78,159,157,38,60,0,3,21,89,35,87,6,1,36,3,13,7,0,0,27.12,217,<1,21,16,22,10,16,5.73,40,<1,3,37.62,217,<1,28,N/A,N/A,N/A,N/A,9.8,40,<1,8
2018,NASA,12630.77,1327304.90,1339935.67,10.75,64,91,880,853,51,50,30,158,55,49,79,42,182,121,37,26,,7,22,77,41,125,11,,30,4,16,5,,,34.34,218,<1,24,8,10,6,8,9.06,118,<1,5,45.5,218,<1,33,6,6,6,6,15.94,118,<1,13.5
2019,NASA,0.00,1434219.11,1434219.11,11.75,76,64,800,812,26,41,38,124,34,16,121,60,190,92,29,29,1,12,36,90,27,152,6,1,27,1,24,2,0,0,38.31,240,<1,25,N/A,N/A,N/A,N/A,13.19,146,<1,7,50.83,240,<1,37,N/A,N/A,N/A,N/A,16.28,146,<1,10
2020,NASA,684.96,1192748.44,1193433.40,9.33,84,76,833,841,21,60,33,129,32,19,122,64,215,93,7,38,0,16,38,107,52,166,10,0,43,3,22,13,0,1,34.33,346,<1,25,N/A,N/A,N/A,N/A,11.62,183,<1,7,39.95,346,<1,29,N/A,N/A,N/A,N/A,15.62,183,<1,10
2021,NASA,3844.84,1245805.27,1249650.11,10.70,68,84,775,759,20,27,27,126,24,15,131,64,165,141,9,26,1,15,34,81,60,128,2,0,27,1,18,7,0,0,44.46,459,<1,27,N/A,N/A,N/A,N/A,15.55,158,<1,8,54.94,459,<1,36,N/A,N/A,N/A,N/A,11.64,158,<1,4
2022,NASA,0.00,1421306.75,1421306.75,10.65,79,68,982,993,127,50,33,125,83,11,115,61,215,104,23,35,1,8,40,84,62,178,5,0,17,2,17,4,0,0,41.58,340,<1,28,63.2,145,14,18,10.88,59,<1,7,52.57,340,<1,35,95.67,145,18,124,15.73,53,<1,14
2023,NASA,2700.00,1473080.75,1475780.75,10.90,81,79,1003,1005,200,40,31,113,66,16,107,84,191,99,20,36,0,12,46,87,67,158,3,0,21,4,15,0,0,0,33.30,383,<1,13,27.5,31,24,27.5,7.61,327,<1,2,39.5,383,<1,61,27.5,31,24,27.5,13.18,61,<1,12
2024,NASA,15000.00,1613306.27,1628306.27,10.90,182,81,1459,1560,405,33,45,122,19,32,207,89,247,188,23,49,0,9,36,102,76,223,5,0,35,0,15,4,0,0,22.9,430,<1,10,319,436,202,319,7.7,215,<1,2,42.9,430,1,29,319,436,202,319,14.3,153,<1,9
2016,NCD,0.00,2960.00,2960.00,0.04,N/A,N/A,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,10,10,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,10,10,10
2017,NCD,0.00,8900.00,8900.00,0.10,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018,NCD,0.00,1000.00,1000.00,0.05,N/A,N/A,3,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,8,2,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,8,2,3
2019,NCD,0.00,10000.00,10000.00,0.10,1,N/A,11,12,0,0,1,0,0,0,8,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,20,<1,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020,NCD,0.00,10000.00,10000.00,0.10,N/A,1,16,15,0,0,0,1,0,5,7,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,18,18,18,18,5.6,38,1,5,8.5,37,<1,9,18,18,18,18,15.3,18,11,17,12.3,17,9,11
2021,NCD,0.00,9300.00,9300.00,0.10,N/A,N/A,13,13,0,0,0,1,0,5,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,16,52,1,10,8,52,1,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.5,29,4,16
2022,NCD,0.00,10000.00,10000.00,0.12,N/A,N/A,16,16,0,0,0,2,0,3,7,0,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,22,42,9,29,22,0,0,0,13,29,1,16,29,42,41,29,0,0,0,0,17,19,16,19
2023,NCD,0.00,21000.00,21000.00,0.20,3,N/A,5,8,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,47,3,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23,47,3,21
2024,NCD,0.00,40000.00,40000.00,0.40,44,3,23,64,0,0,0,6,0,0,12,1,4,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,140,224,46,142,N/A,N/A,N/A,N/A,25,135,<1,19,142,224,46, 140,N/A,N/A,N/A,N/A,15 ,135,19,42
2018,NCMNPS,0.00,42152.80,42152.80,0.50,2,N/A,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,16,16,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,16,16,16
2019,NCMNPS,0.00,101166.72,101166.72,0.50,5,2,34,37,0,0,0,1,0,0,29,0,2,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,4,6,2,4,13.34,70,<1,3,N/A,N/A,N/A,N/A,6,6,6,6,19,20,18,19
2010,NCPC,0.00,539.00,539.00,0.20,N/A,N/A,19,19,0,2,0,13,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.5,7,1,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.5,7,1,4
2011,NCPC,0.00,539.00,539.00,0.20,N/A,N/A,17,17,0,0,1,12,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,10,1,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,10,1,7
2012,NCPC,0.00,4237.00,4237.00,0.06,N/A,N/A,13,13,0,0,0,5,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,6,1,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,3,1,2
2013,NCPC,0.00,1500.00,1500.00,0.05,N/A,N/A,9,9,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.67,16,<1,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.4,16,1,1
2014,NCPC,0.00,750.00,750.00,0.03,N/A,N/A,14,14,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,N/A,N/A,N/A,N/A,3.71,8,1,4,9,9,9,9,N/A,N/A,N/A,N/A,3.75,5,1,4
2015,NCPC,0.00,156.00,156.00,0.03,N/A,N/A,3,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.5,9,1,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,9,1,3
