year,facility_type,result,count
2024,Chinese/Cuban,Establishment re-opened by DOHMH.,1
2024,Pakistani,Violations were cited in the following area(s).,171
2024,Pakistani,No violations were recorded at the time of this inspection.,3
2024,Eastern European,Violations were cited in the following area(s).,403
2024,Eastern European,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,35
2024,Eastern European,Establishment re-closed by DOHMH.,2
2024,Eastern European,Establishment re-opened by DOHMH.,6
2024,Eastern European,No violations were recorded at the time of this inspection.,2
2024,Bagels/Pretzels,Violations were cited in the following area(s).,759
2024,Bagels/Pretzels,Establishment re-closed by DOHMH.,6
2024,Bagels/Pretzels,Establishment re-opened by DOHMH.,8
2024,Bagels/Pretzels,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,29
2024,Bagels/Pretzels,No violations were recorded at the time of this inspection.,2
2024,Greek,Violations were cited in the following area(s).,453
2024,Moroccan,Violations were cited in the following area(s).,23
2024,Moroccan,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,14
2024,Moroccan,Establishment re-closed by DOHMH.,6
2024,Moroccan,Establishment re-opened by DOHMH.,1
2024,Steakhouse,Violations were cited in the following area(s).,261
2024,Steakhouse,No violations were recorded at the time of this inspection.,3
2024,Scandinavian,Violations were cited in the following area(s).,24
2024,Sandwiches,Violations were cited in the following area(s).,1684
2024,Sandwiches,No violations were recorded at the time of this inspection.,15
2024,Sandwiches,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,24
2024,Sandwiches,Establishment re-closed by DOHMH.,4
2024,Sandwiches,Establishment re-opened by DOHMH.,2
2024,Vegan,Violations were cited in the following area(s).,147
2024,Vegan,No violations were recorded at the time of this inspection.,4
2024,Australian,Violations were cited in the following area(s).,138
2024,Australian,No violations were recorded at the time of this inspection.,2
2024,Fusion,Violations were cited in the following area(s).,273
2024,Fusion,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,24
2024,Fusion,Establishment re-opened by DOHMH.,3
2024,Fusion,No violations were recorded at the time of this inspection.,2
2024,Soups/Salads/Sandwiches,Violations were cited in the following area(s).,106
2024,Sandwiches/Salads/Mixed Buffet,Violations were cited in the following area(s).,455
2024,Sandwiches/Salads/Mixed Buffet,No violations were recorded at the time of this inspection.,7
2024,Cajun,Violations were cited in the following area(s).,22
2024,Not Listed/Not Applicable,Violations were cited in the following area(s).,23
2024,Irish,Violations were cited in the following area(s).,540
2024,Irish,Establishment re-opened by DOHMH.,5
2024,Irish,Establishment re-closed by DOHMH.,20
2024,Irish,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,19
2024,Irish,No violations were recorded at the time of this inspection.,3
2024,English,Violations were cited in the following area(s).,31
2024,Peruvian,Violations were cited in the following area(s).,368
2024,Peruvian,No violations were recorded at the time of this inspection.,2
2024,Hotdogs/Pretzels,Violations were cited in the following area(s).,75
2024,German,Violations were cited in the following area(s).,86
2024,German,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,6
2024,German,No violations were recorded at the time of this inspection.,2
2024,German,Establishment re-opened by DOHMH.,1
2024,Vegetarian,Violations were cited in the following area(s).,219
2024,Vegetarian,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,9
2024,Vegetarian,Establishment re-opened by DOHMH.,1
2024,Vegetarian,No violations were recorded at the time of this inspection.,3
2024,Soul Food,Violations were cited in the following area(s).,224
2024,Soul Food,No violations were recorded at the time of this inspection.,3
2024,Hawaiian,Violations were cited in the following area(s).,94
2024,Hawaiian,No violations were recorded at the time of this inspection.,1
2024,Creole,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,10
2024,Creole,Violations were cited in the following area(s).,117
2024,Creole,Establishment re-opened by DOHMH.,1
2024,Tapas,Violations were cited in the following area(s).,114
2024,Tapas,No violations were recorded at the time of this inspection.,1
2024,Afghan,Violations were cited in the following area(s).,54
2024,Pancakes/Waffles,Violations were cited in the following area(s).,115
2024,Indonesian,Violations were cited in the following area(s).,45
2024,Egyptian,Violations were cited in the following area(s).,37
2024,Egyptian,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,10
2024,Egyptian,Establishment re-closed by DOHMH.,6
2024,Egyptian,Establishment re-opened by DOHMH.,1
2024,Ethiopian,Violations were cited in the following area(s).,36
2024,Armenian,Violations were cited in the following area(s).,35
2024,Polish,Violations were cited in the following area(s).,48
2024,Polish,No violations were recorded at the time of this inspection.,1
2024,Filipino,Violations were cited in the following area(s).,209
2024,Filipino,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,14
2024,Filipino,Establishment re-opened by DOHMH.,2
2024,Filipino,No violations were recorded at the time of this inspection.,4
2024,Hotdogs,Violations were cited in the following area(s).,54
2024,Hotdogs,No violations were recorded at the time of this inspection.,4
2024,Californian,Violations were cited in the following area(s).,12
2024,New French,Violations were cited in the following area(s).,20
2024,Brazilian,Violations were cited in the following area(s).,122
2024,Brazilian,No violations were recorded at the time of this inspection.,3
2024,New American,Violations were cited in the following area(s).,140
2024,New American,No violations were recorded at the time of this inspection.,2
2024,Portuguese,Violations were cited in the following area(s).,28
2024,Portuguese,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,16
2024,Portuguese,Establishment re-opened by DOHMH.,1
2024,Iranian,Violations were cited in the following area(s).,15
2024,Chilean,Violations were cited in the following area(s).,5
2024,Soups,Violations were cited in the following area(s).,8
2024,Creole/Cajun,Violations were cited in the following area(s).,18
2024,Fruits/Vegetables,Violations were cited in the following area(s).,14
2024,Basque,Violations were cited in the following area(s).,8
2024,Czech,Violations were cited in the following area(s).,7
2024,Nuts/Confectionary,Violations were cited in the following area(s).,3
2021,Peruvian,No violations were recorded at the time of this inspection.,1
2021,Peruvian,Violations were cited in the following area(s).,31
2021,Australian,Violations were cited in the following area(s).,8
2021,Vegan,Violations were cited in the following area(s).,31
2021,Vegan,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,5
2021,Salads,Violations were cited in the following area(s).,35
2021,Coffee/Tea,Violations were cited in the following area(s).,595
2021,Coffee/Tea,No violations were recorded at the time of this inspection.,7
2021,Coffee/Tea,Establishment re-opened by DOHMH.,9
2021,Coffee/Tea,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,17
2021,Bagels/Pretzels,Violations were cited in the following area(s).,70
2021,Bagels/Pretzels,Establishment re-opened by DOHMH.,3
2021,Bagels/Pretzels,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,9
2021,Mediterranean,Violations were cited in the following area(s).,65
2021,Mediterranean,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,6
2021,Mediterranean,Establishment re-opened by DOHMH.,2
2021,American,Violations were cited in the following area(s).,1026
2021,American,No violations were recorded at the time of this inspection.,8
2021,American,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,15
2021,American,Establishment re-opened by DOHMH.,10
2021,American,Establishment re-closed by DOHMH.,4
2021,Sandwiches,Violations were cited in the following area(s).,175
2021,Bakery Products/Desserts,No violations were recorded at the time of this inspection.,5
2021,Bakery Products/Desserts,Violations were cited in the following area(s).,292
2021,Bakery Products/Desserts,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,8
2021,Bakery Products/Desserts,Establishment re-opened by DOHMH.,1
2021,Chinese,Violations were cited in the following area(s).,645
2021,Chinese,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,10
2021,Chinese,Establishment re-opened by DOHMH.,4
2021,Chinese,No violations were recorded at the time of this inspection.,2
2021,French,Violations were cited in the following area(s).,65
2021,Pizza,Violations were cited in the following area(s).,553
2021,Pizza,Establishment re-opened by DOHMH.,8
2021,Pizza,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,32
2021,Pizza,No violations were recorded at the time of this inspection.,3
2021,Greek,Violations were cited in the following area(s).,30
2021,Caribbean,Violations were cited in the following area(s).,167
2021,Caribbean,Establishment re-closed by DOHMH.,4
2021,Caribbean,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,15
2021,Caribbean,No violations were recorded at the time of this inspection.,2
2021,Caribbean,Establishment re-opened by DOHMH.,4
2021,Bottled Beverages,Violations were cited in the following area(s).,42
2021,Bottled Beverages,No violations were recorded at the time of this inspection.,1
2021,Latin American,Violations were cited in the following area(s).,197
2021,Latin American,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,8
2021,Latin American,Establishment re-opened by DOHMH.,1
2021,Hamburgers,Violations were cited in the following area(s).,162
2021,Hamburgers,No violations were recorded at the time of this inspection.,1
2021,Frozen Desserts,Violations were cited in the following area(s).,130
2021,Frozen Desserts,No violations were recorded at the time of this inspection.,1
2021,Chicken,Violations were cited in the following area(s).,235
2021,Chicken,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,12
2021,Chicken,No violations were recorded at the time of this inspection.,1
2021,Chicken,Establishment re-opened by DOHMH.,1
2021,Tex-Mex,Violations were cited in the following area(s).,104
2021,Tex-Mex,No violations were recorded at the time of this inspection.,1
2021,Mexican,Violations were cited in the following area(s).,258
2021,Mexican,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,5
2021,Irish,Violations were cited in the following area(s).,87
2021,Italian,Violations were cited in the following area(s).,262
2021,Italian,No violations were recorded at the time of this inspection.,2
2021,Donuts,Violations were cited in the following area(s).,236
2021,Sandwiches/Salads/Mixed Buffet,Violations were cited in the following area(s).,31
2021,Jewish/Kosher,Violations were cited in the following area(s).,86
