"Agency","Component","Fiscal Year","Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
"Federal Labor Relations Authority","Agency Overall","2019","0","0.33","0.33"
"Equal Employment Opportunity Commission","Agency Overall","2019","37","14.23","51.23"
"Office of Personnel Management","Agency Overall","2019","6","14.49","20.49"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2019","1","0.00","1.00"
"Institute of Museum and Library Services","Agency Overall","2019","0","0.25","0.25"
"United States Institute of Peace","Agency Overall","2019","0","0.50","0.50"
"National Indian Gaming Commission","Agency Overall","2019","0","1.00","1.00"
"Federal Election Commission","Agency Overall","2019","1","1.28","2.28"
"Commission of Fine Arts","Agency Overall","2019","1","0.00","1.00"
"National Railroad Passenger Corporation","Agency Overall","2019","1","0.00","1.00"
"Office of Science and Technology Policy","Agency Overall","2019","0","2.80","2.80"
"Denali Commission","Agency Overall","2019","0","0.10","0.10"
"United States Copyright Office","Agency Overall","2019","0","0.17","0.17"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2019","0","0.25","0.25"
"National Transportation Safety Board","Agency Overall","2019","5","3.00","8.00"
"Selective Service System","Agency Overall","2019","0","0.15","0.15"
"Office of Government Ethics","Agency Overall","2019","0","2.40","2.40"
"Export-Import Bank of the U.S.","Agency Overall","2019","3","0.50","3.50"
"Armed Forces Retirement Home","Agency Overall","2019","0","1.00","1.00"
"Department of Housing and Urban Development","Agency Overall","2019","29","49.00","78.00"
"Administrative Conference of the United States","Agency Overall","2019","0","0.05","0.05"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2019","0","0.43","0.43"
"Federal Deposit Insurance Corporation","Agency Overall","2019","6","5.00","11.00"
"Central Intelligence Agency","Agency Overall","2019","47","27.00","74.00"
"Small Business Administration","Agency Overall","2019","3","0.00","3.00"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2019","0","0.28","0.28"
"National Labor Relations Board","Agency Overall","2019","16","2.00","18.00"
"National Credit Union Administration","Agency Overall","2019","0","2.23","2.23"
"Department of Health and Human Services","Agency Overall","2019","244","99.75","343.75"
"Department of Veterans Affairs","Agency Overall","2019","47","172.35","219.35"
"Department of Transportation","Agency Overall","2019","39","234.98","273.98"
"National Council on Disability","Agency Overall","2019","0","0.10","0.10"
"U.S. Railroad Retirement Board","Agency Overall","2019","0","3.00","3.00"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2019","0","0.50","0.50"
"Millennium Challenge Corporation","Agency Overall","2019","1","2.50","3.50"
"Legal Services Corporation","Agency Overall","2019","0","0.60","0.60"
"U.S. Agency for Global Media","Agency Overall","2019","0","1.20","1.20"
"Neighborhood Reinvestment Corporation","Agency Overall","2019","0","0.75","0.75"
"Marine Mammal Commission","Agency Overall","2019","0","0.10","0.10"
"National Capital Planning Commission","Agency Overall","2019","0","0.05","0.05"
"Postal Regulatory Commission","Agency Overall","2019","0","1.00","1.00"
"All agencies","Agency Overall","2019","2640","2362.26","5002.26"
